Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Marcus Morris,PF,32,LAC,51,51,29.2,5.6,12.9,.435,1.8,5.0,.369,3.8,7.9,.476,.506,2.4,2.8,.867,0.5,4.0,4.5,2.2,0.5,0.3,1.3,2.1,15.5
Markieff Morris,PF,32,MIA,16,0,17.1,3.1,6.5,.481,0.7,2.1,.333,2.4,4.4,.549,.534,0.5,0.6,.889,1.0,1.6,2.6,1.2,0.2,0.1,1.3,2.0,7.4
Monte Morris,PG,26,DEN,72,71,29.8,5.1,10.4,.492,1.7,4.2,.405,3.4,6.2,.551,.574,1.0,1.1,.863,0.3,2.7,3.0,4.4,0.7,0.2,1.0,1.2,12.8
Emmanuel Mudiay,PG,25,SAC,2,0,5.5,0.0,1.0,.000,0.0,0.0,0,0.0,1.0,.000,.000,1.5,2.0,.750,0.0,0.0,0.0,2.0,0.5,0.0,0.5,0.5,1.5
Mychal Mulder,PG,27,ORL,15,2,13.0,1.3,4.5,.299,0.9,3.1,.283,0.5,1.4,.333,.396,0.1,0.1,1.000,0.1,1.3,1.4,0.2,0.3,0.1,0.5,0.8,3.7
Ade Murkey,SG,24,SAC,1,0,1.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trey Murphy III,SF,21,NOP,57,0,13.5,1.6,4.2,.384,1.1,2.8,.373,0.5,1.3,.408,.511,0.6,0.7,.857,0.7,1.6,2.3,0.6,0.4,0.1,0.2,1.0,4.9
Dejounte Murray,PG,25,SAS,67,67,34.8,8.5,18.3,.463,1.4,4.3,.330,7.1,14.0,.504,.502,2.8,3.6,.788,1.2,7.2,8.4,9.3,2.0,0.3,2.7,2.0,21.2
Mike Muscala,C,30,OKC,43,0,13.8,2.6,5.8,.456,1.6,3.8,.429,1.0,2.0,.506,.597,1.1,1.3,.842,0.5,2.5,3.0,0.5,0.4,0.6,0.3,1.3,8.0
Svi Mykhailiuk,SF,24,TOR,55,5,12.9,1.6,4.1,.390,0.7,2.3,.302,0.9,1.8,.505,.476,0.6,0.7,.865,0.4,1.3,1.7,0.8,0.5,0.1,0.6,0.9,4.5
Abdel Nader,SF,28,PHO,14,0,10.4,0.9,2.5,.343,0.3,1.0,.286,0.6,1.5,.381,.400,0.4,0.7,.600,0.3,1.6,1.9,0.5,0.6,0.3,0.8,1.4,2.4
Larry Nance Jr.,PF,29,NOP,4,0,18.5,2.8,4.5,.611,0.3,0.5,.500,2.5,4.0,.625,.639,0.5,0.5,1.000,1.0,3.0,4.0,0.5,0.3,1.3,0.3,1.3,6.3
RJ Nembhard Jr.,SG,22,CLE,13,0,4.6,0.5,1.3,.353,0.0,0.2,.000,0.5,1.2,.400,.353,0.2,0.3,.750,0.2,0.2,0.5,0.9,0.1,0.0,0.2,0.2,1.2
Aaron Nesmith,SF,22,BOS,48,3,11.1,1.3,3.5,.386,0.5,2.1,.248,0.8,1.4,.600,.461,0.4,0.5,.792,0.3,1.5,1.8,0.4,0.4,0.1,0.5,1.3,3.6
Raul Neto,PG,29,WAS,66,19,20.0,2.9,6.4,.456,0.5,1.7,.289,2.4,4.7,.518,.495,1.2,1.5,.762,0.2,1.8,2.0,3.2,0.8,0.0,1.1,1.5,7.5
Malik Newman,PG,24,CLE,1,0,8.0,3.0,5.0,.600,0.0,1.0,.000,3.0,4.0,.750,.600,2.0,2.0,1.000,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,8.0
Georges Niang,PF,28,PHI,73,7,23.0,3.3,7.5,.434,2.0,5.1,.398,1.2,2.4,.511,.569,0.7,0.8,.877,0.3,2.4,2.7,1.4,0.4,0.2,0.8,2.5,9.2
Daishen Nix,SG,19,HOU,21,0,10.8,1.1,2.8,.407,0.3,1.1,.304,0.8,1.7,.472,.466,0.6,1.1,.565,0.3,1.2,1.5,1.6,0.7,0.0,1.0,0.9,3.2
Zeke Nnaji,PF,21,DEN,40,1,16.8,2.4,4.4,.537,0.9,1.9,.487,1.5,2.5,.574,.641,1.0,1.6,.613,1.4,2.3,3.6,0.4,0.4,0.3,0.6,1.9,6.6
Nerlens Noel,C,27,NYK,25,11,22.5,1.3,2.4,.533,0.0,0.1,.000,1.3,2.3,.561,.533,0.8,1.2,.700,1.9,3.7,5.6,0.9,1.2,1.2,0.8,2.7,3.4
Jaylen Nowell,SG,22,MIN,58,1,15.8,3.1,6.6,.474,0.9,2.5,.377,2.2,4.1,.534,.546,1.1,1.4,.778,0.4,1.7,2.0,2.1,0.4,0.1,0.5,1.2,8.3
Frank Ntilikina,PG,23,DAL,56,5,12.1,1.6,3.9,.398,0.7,2.0,.345,0.9,2.0,.450,.484,0.4,0.4,.960,0.2,1.2,1.4,1.2,0.5,0.1,0.6,1.1,4.3
Jusuf Nurkić,C,27,POR,56,56,28.2,5.7,10.7,.535,0.3,1.0,.268,5.5,9.7,.563,.548,3.3,4.8,.690,3.0,8.1,11.1,2.8,1.1,0.6,2.6,3.4,15.0
David Nwaba,SF,29,HOU,45,4,13.2,1.9,3.9,.483,0.3,1.1,.313,1.5,2.8,.548,.526,1.1,1.5,.716,0.9,2.4,3.3,0.8,0.6,0.4,0.5,1.2,5.1
Jordan Nwora,SF,23,MIL,59,12,19.2,3.0,7.4,.411,1.3,3.7,.350,1.7,3.7,.472,.499,0.4,0.5,.813,0.6,2.9,3.5,0.9,0.4,0.3,0.9,1.3,7.8
Royce O'Neale,SF,28,UTA,74,74,31.4,2.7,5.8,.464,1.6,4.0,.393,1.1,1.8,.619,.599,0.6,0.7,.808,0.8,4.1,4.9,2.5,1.1,0.4,1.0,2.4,7.5
Semi Ojeleye,PF,27,LAC,10,0,9.8,1.2,2.9,.414,0.4,0.9,.444,0.8,2.0,.400,.483,1.3,1.6,.813,0.2,1.4,1.6,0.4,0.2,0.1,0.4,0.4,4.1
Chuma Okeke,PF,23,ORL,66,16,24.7,3.0,8.0,.373,1.6,5.1,.313,1.4,3.0,.474,.472,0.8,0.9,.852,0.7,4.2,4.8,1.7,1.4,0.6,0.8,1.3,8.4
Josh Okogie,SG,23,MIN,46,6,10.3,0.7,2.0,.366,0.3,1.0,.304,0.4,1.0,.426,.441,0.6,0.9,.659,0.6,0.9,1.5,0.5,0.5,0.2,0.5,1.0,2.4
Onyeka Okongwu,C,21,ATL,44,6,20.7,3.3,4.8,.692,0.0,0.0,0,3.3,4.8,.692,.692,1.8,2.5,.722,2.5,3.4,5.9,1.1,0.6,1.3,0.9,3.1,8.4
Isaac Okoro,SF,21,CLE,63,57,29.7,3.2,6.7,.482,0.9,2.4,.355,2.3,4.2,.554,.547,1.8,2.3,.793,1.1,2.0,3.1,1.8,0.8,0.3,0.9,2.5,9.1
KZ Okpala,PF,22,MIA,21,0,11.6,1.4,3.3,.435,0.4,1.2,.346,1.0,2.0,.488,.500,0.4,0.5,.727,0.5,1.4,2.0,0.7,0.2,0.3,0.2,1.2,3.7
Victor Oladipo,SG,29,MIA,6,0,18.3,2.5,6.7,.375,0.7,2.7,.250,1.8,4.0,.458,.425,0.7,1.0,.667,0.2,1.5,1.7,2.8,0.2,0.2,1.2,1.5,6.3
Cameron Oliver,SF,25,ATL,2,0,21.5,5.0,7.5,.667,0.5,1.5,.333,4.5,6.0,.750,.700,1.0,1.5,.667,1.0,2.0,3.0,1.5,0.5,0.5,0.0,2.5,11.5
Kelly Olynyk,C,30,DET,38,1,19.0,3.2,7.2,.449,1.0,3.0,.336,2.2,4.2,.528,.518,1.6,2.1,.756,1.4,3.1,4.5,2.8,0.8,0.4,1.4,2.6,9.0
