Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Rudy Gobert,C,29,UTA,62,62,32.2,5.5,7.7,0.709,0.0,0.1,0.0,5.5,7.6,0.715,0.709,4.4,6.4,0.693,3.7,11.0,14.7,1.1,0.7,2.1,1.8,2.6,15.3
Jerami Grant,PF,27,DET,47,47,31.9,6.3,14.9,0.426,1.9,5.4,0.358,4.4,9.5,0.465,0.491,4.6,5.5,0.838,0.6,3.5,4.1,2.4,0.9,1.0,1.8,2.3,19.2
Jalen Green,SG,19,HOU,63,63,31.5,5.8,13.9,0.416,2.3,6.8,0.34,3.5,7.2,0.488,0.499,2.7,3.4,0.811,0.5,2.9,3.3,2.6,0.7,0.3,2.0,1.5,16.6
Josh Hart,SF,26,POR,13,13,32.1,7.1,14.1,0.503,2.4,6.4,0.373,4.7,7.7,0.61,0.587,3.4,4.4,0.772,0.7,4.7,5.4,4.3,1.2,0.2,2.5,2.5,19.9
Gordon Hayward,SF,31,CHO,49,48,31.9,5.8,12.6,0.459,1.8,4.5,0.391,4.0,8.1,0.496,0.528,2.6,3.0,0.846,0.8,3.8,4.6,3.6,1.0,0.4,1.7,1.7,15.9
Tyler Herro,SG,22,MIA,63,10,32.5,7.6,17.1,0.442,2.7,6.7,0.396,4.9,10.4,0.472,0.52,2.9,3.3,0.865,0.5,4.4,4.9,3.9,0.7,0.1,2.5,1.4,20.6
Buddy Hield,SG,29,IND,22,22,36.0,6.9,15.4,0.447,3.0,8.2,0.372,3.8,7.2,0.532,0.546,1.2,1.4,0.871,0.9,4.0,4.9,4.9,1.0,0.4,2.4,2.7,18.0
Jrue Holiday,PG,31,MIL,62,59,33.4,7.3,14.5,0.501,2.0,4.8,0.411,5.3,9.7,0.546,0.569,2.1,2.8,0.766,1.0,3.5,4.5,6.7,1.7,0.4,2.8,2.0,18.6
Brandon Ingram,SF,24,NOP,53,53,34.0,8.4,18.1,0.465,1.4,4.2,0.326,7.0,13.9,0.507,0.503,4.8,5.8,0.824,0.7,5.1,5.8,5.6,0.6,0.5,2.7,2.2,22.9
Jaren Jackson Jr.,PF,22,MEM,75,75,27.2,5.5,13.3,0.418,1.6,5.1,0.319,3.9,8.1,0.48,0.479,3.6,4.3,0.819,1.6,4.3,5.8,1.1,0.9,2.3,1.7,3.5,16.3
Reggie Jackson,SG,31,LAC,72,72,31.3,6.5,16.4,0.395,2.3,6.9,0.333,4.2,9.6,0.439,0.464,1.9,2.2,0.845,0.5,3.1,3.7,4.8,0.7,0.2,2.3,2.1,17.2
Kyle Kuzma,PF,26,WAS,66,66,33.4,6.4,14.2,0.452,1.9,5.7,0.341,4.5,8.5,0.526,0.52,2.4,3.3,0.712,1.1,7.4,8.5,3.5,0.6,0.9,2.6,1.9,17.1
