Player,Unnamed: 0,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Lonnie Walker IV,237,SG,23,SAS,67,6,23.0,4.5,10.9,0.408,1.6,5.0,0.313,2.9,5.9,0.489,0.48,1.6,2.1,0.771,0.3,2.3,2.5,2.1,0.6,0.3,1.0,1.4,12.1
P.J. Washington,238,PF,23,CHO,61,24,27.0,3.8,8.3,0.463,1.8,4.8,0.367,2.1,3.5,0.597,0.57,0.9,1.2,0.716,1.3,4.0,5.3,2.2,0.9,0.9,1.2,2.3,10.3
Coby White,240,PG,21,CHI,58,16,27.3,4.6,10.6,0.432,2.2,5.8,0.374,2.4,4.8,0.502,0.534,1.3,1.5,0.862,0.3,2.7,3.0,2.9,0.4,0.2,1.1,2.2,12.6
Derrick White,241,SG,27,BOS,22,3,27.6,3.4,9.0,0.381,1.1,4.3,0.263,2.3,4.6,0.49,0.444,2.6,2.9,0.891,0.5,2.7,3.2,3.6,0.7,0.7,1.3,2.3,10.5
Aaron Wiggins,242,SG,23,OKC,49,34,24.1,3.1,6.7,0.457,0.8,2.7,0.306,2.2,4.0,0.562,0.52,1.2,1.7,0.716,1.0,2.5,3.5,1.3,0.6,0.2,1.1,1.9,8.1
Brandon Williams,244,PG,22,POR,20,13,26.9,4.7,12.2,0.387,1.5,4.7,0.309,3.3,7.5,0.436,0.447,3.2,4.5,0.7,0.9,2.4,3.2,3.7,1.1,0.4,2.4,2.2,14.0
Grant Williams,245,PF,23,BOS,73,20,24.2,2.7,5.6,0.474,1.4,3.3,0.41,1.3,2.3,0.57,0.597,1.1,1.2,0.899,0.8,2.7,3.5,1.0,0.5,0.7,0.8,2.4,7.8
Kenrich Williams,246,SF,27,OKC,49,0,21.9,3.0,6.5,0.461,0.8,2.5,0.339,2.1,4.0,0.536,0.525,0.6,1.1,0.545,1.5,3.0,4.5,2.2,0.9,0.2,0.9,1.7,7.4
Patrick Williams,247,PF,20,CHI,13,5,22.8,2.4,4.5,0.534,0.6,1.3,0.471,1.8,3.2,0.561,0.603,0.8,1.2,0.625,0.8,3.0,3.8,0.6,0.7,0.5,0.5,1.5,6.2
Ziaire Williams,249,SF,20,MEM,58,29,21.4,3.0,6.6,0.453,1.1,3.7,0.302,1.8,2.8,0.648,0.538,0.6,0.8,0.773,0.4,1.7,2.1,1.0,0.5,0.2,0.7,1.8,7.6
Justise Winslow,250,SF,25,POR,11,10,26.8,4.3,10.5,0.405,0.9,3.4,0.27,3.4,7.2,0.468,0.448,1.3,2.3,0.56,1.8,4.5,6.3,2.9,1.3,0.6,1.1,1.9,10.7
Ivica Zubac,253,C,24,LAC,72,72,24.4,4.0,6.4,0.621,0.0,0.0,0.0,4.0,6.4,0.621,0.621,2.2,3.0,0.729,2.8,5.5,8.3,1.6,0.5,1.0,1.5,2.6,10.1
