Player,Unnamed: 0,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Tre Mann,148,PG,20,OKC,60,26,22.8,3.9,9.8,0.393,1.6,4.5,0.36,2.2,5.3,0.421,0.476,1.1,1.4,0.793,0.4,2.4,2.9,1.5,0.8,0.2,1.2,1.7,10.4
Lauri Markkanen,149,PF,24,CLE,57,57,30.8,5.0,11.4,0.44,2.1,6.1,0.344,2.9,5.3,0.551,0.532,2.2,2.6,0.858,1.0,4.6,5.7,1.4,0.8,0.5,0.9,2.0,14.4
Caleb Martin,150,SF,26,MIA,57,10,22.7,3.5,6.8,0.512,1.1,2.5,0.414,2.4,4.3,0.57,0.589,1.2,1.6,0.767,1.2,2.6,3.9,1.1,1.0,0.5,0.8,1.7,9.2
Cody Martin,151,SF,26,CHO,67,11,26.3,2.9,6.0,0.474,0.9,2.3,0.384,2.0,3.8,0.528,0.546,1.1,1.6,0.692,1.1,2.9,4.0,2.5,1.2,0.4,0.9,1.7,7.7
Kenyon Martin Jr.,152,SF,21,HOU,75,2,20.9,3.5,6.6,0.534,0.7,2.1,0.364,2.8,4.6,0.61,0.59,1.0,1.6,0.636,1.1,2.8,3.9,1.3,0.4,0.5,0.8,1.4,8.8
Garrison Mathews,153,SG,25,HOU,61,29,26.3,2.9,7.1,0.402,2.2,6.0,0.364,0.7,1.2,0.597,0.554,2.2,2.7,0.802,0.5,2.3,2.9,1.0,0.9,0.3,0.6,2.6,10.1
T.J. McConnell,157,PG,29,IND,24,6,24.2,3.8,7.5,0.503,0.3,1.0,0.28,3.5,6.5,0.538,0.522,0.5,0.6,0.8,0.8,2.5,3.3,4.8,1.0,0.4,1.2,1.8,8.4
Jaden McDaniels,158,PF,21,MIN,67,31,26.1,3.7,8.1,0.459,1.1,3.7,0.313,2.6,4.4,0.582,0.531,0.8,1.0,0.8,1.1,3.1,4.3,1.1,0.8,0.8,1.1,3.3,9.4
Doug McDermott,159,PF,30,SAS,51,51,24.0,4.2,9.1,0.462,2.1,5.0,0.422,2.1,4.1,0.512,0.578,0.8,1.0,0.784,0.4,1.9,2.3,1.3,0.3,0.1,0.8,1.5,11.3
De'Anthony Melton,160,SG,23,MEM,69,14,22.6,3.9,9.5,0.405,1.9,5.1,0.375,2.0,4.4,0.44,0.505,1.2,1.6,0.741,0.9,3.6,4.5,2.6,1.5,0.5,1.5,1.7,10.8
Chimezie Metu,161,C,24,SAC,56,20,21.0,3.4,7.5,0.448,0.9,3.2,0.299,2.4,4.4,0.555,0.511,1.2,1.5,0.776,0.6,4.9,5.5,1.0,0.8,0.5,1.0,1.6,8.9
Patty Mills,163,PG,33,BRK,77,47,29.1,4.1,10.0,0.406,2.8,7.1,0.398,1.2,2.9,0.427,0.547,0.6,0.7,0.821,0.2,1.7,2.0,2.3,0.6,0.2,0.9,1.4,11.5
Shake Milton,164,PG,25,PHI,50,6,21.4,3.0,7.3,0.416,0.7,2.4,0.298,2.3,4.9,0.475,0.466,1.1,1.3,0.828,0.5,2.1,2.7,2.5,0.5,0.3,0.8,1.8,7.9
Davion Mitchell,165,PG,23,SAC,71,15,27.0,4.6,11.1,0.416,1.4,4.3,0.318,3.2,6.7,0.479,0.478,0.6,1.0,0.634,0.5,1.8,2.3,3.7,0.8,0.3,1.5,1.9,11.2
Evan Mobley,167,PF,20,CLE,67,67,33.9,6.1,12.0,0.506,0.3,1.4,0.253,5.7,10.7,0.538,0.52,2.4,3.6,0.664,2.0,6.2,8.3,2.5,0.8,1.6,2.0,2.2,14.9
Malik Monk,168,SG,23,LAL,71,32,27.9,5.0,10.6,0.472,2.3,5.8,0.391,2.8,4.9,0.566,0.577,1.1,1.5,0.779,0.5,2.8,3.3,2.8,0.8,0.4,1.5,1.8,13.4
Monte Morris,171,PG,26,DEN,72,71,29.8,5.1,10.4,0.492,1.7,4.2,0.405,3.4,6.2,0.551,0.574,1.0,1.1,0.863,0.3,2.7,3.0,4.4,0.7,0.2,1.0,1.2,12.8
Georges Niang,173,PF,28,PHI,73,7,23.0,3.3,7.5,0.434,2.0,5.1,0.398,1.2,2.4,0.511,0.569,0.7,0.8,0.877,0.3,2.4,2.7,1.4,0.4,0.2,0.8,2.5,9.2
Nerlens Noel,174,C,27,NYK,25,11,22.5,1.3,2.4,0.533,0.0,0.1,0.0,1.3,2.3,0.561,0.533,0.8,1.2,0.7,1.9,3.7,5.6,0.9,1.2,1.2,0.8,2.7,3.4
Chuma Okeke,177,PF,23,ORL,66,16,24.7,3.0,8.0,0.373,1.6,5.1,0.313,1.4,3.0,0.474,0.472,0.8,0.9,0.852,0.7,4.2,4.8,1.7,1.4,0.6,0.8,1.3,8.4
Onyeka Okongwu,178,C,21,ATL,44,6,20.7,3.3,4.8,0.692,0.0,0.0,0.0,3.3,4.8,0.692,0.692,1.8,2.5,0.722,2.5,3.4,5.9,1.1,0.6,1.3,0.9,3.1,8.4
Isaac Okoro,179,SF,21,CLE,63,57,29.7,3.2,6.7,0.482,0.9,2.4,0.355,2.3,4.2,0.554,0.547,1.8,2.3,0.793,1.1,2.0,3.1,1.8,0.8,0.3,0.9,2.5,9.1
Cameron Payne,183,PG,27,PHO,55,11,22.1,4.2,10.1,0.414,1.2,3.6,0.338,3.0,6.5,0.456,0.474,1.4,1.6,0.843,0.4,2.6,2.9,4.8,0.7,0.3,1.8,2.1,11.0
Mason Plumlee,184,C,31,CHO,69,69,24.9,2.8,4.4,0.635,0.0,0.0,0.0,2.8,4.4,0.639,0.635,0.9,2.3,0.391,2.5,5.4,7.9,3.2,0.8,0.7,1.3,3.1,6.6
Kevin Porter Jr.,187,PG,21,HOU,57,57,30.7,5.2,12.6,0.408,2.4,6.5,0.367,2.8,6.2,0.45,0.501,1.9,3.1,0.617,0.7,3.5,4.2,6.2,1.1,0.4,3.1,2.6,14.6
Otto Porter Jr.,188,PF,28,GSW,61,15,22.0,3.1,6.5,0.469,1.3,3.4,0.368,1.8,3.1,0.579,0.565,0.8,1.0,0.814,1.3,4.4,5.7,1.5,1.1,0.5,0.6,1.3,8.2
Dwight Powell,191,C,30,DAL,78,67,21.6,3.2,4.8,0.656,0.2,0.5,0.351,3.0,4.3,0.689,0.673,1.9,2.4,0.791,2.1,2.7,4.8,1.2,0.4,0.5,0.7,2.7,8.4
Immanuel Quickley,192,PG,22,NYK,74,2,22.5,3.4,8.8,0.389,1.7,4.9,0.347,1.7,4.0,0.44,0.485,2.2,2.5,0.888,0.4,2.6,2.9,3.2,0.7,0.0,1.2,2.1,10.8
Austin Reaves,194,SG,23,LAL,57,16,22.5,2.2,4.9,0.457,0.8,2.6,0.307,1.4,2.2,0.633,0.54,1.3,1.5,0.837,0.7,2.2,2.9,1.6,0.4,0.3,0.6,1.5,6.5
Josh Richardson,195,SG,28,SAS,16,6,24.3,3.8,8.8,0.426,1.8,4.1,0.446,1.9,4.8,0.408,0.528,1.6,1.6,0.962,0.9,2.0,2.9,2.4,1.1,0.4,1.3,1.6,10.9
Austin Rivers,196,SG,29,DEN,63,16,21.9,2.2,5.3,0.414,1.2,3.5,0.345,1.0,1.8,0.55,0.529,0.5,0.6,0.725,0.3,1.4,1.7,1.4,0.8,0.1,0.8,1.7,6.0
Duncan Robinson,197,SG,27,MIA,75,67,26.2,3.7,9.3,0.397,2.9,8.0,0.369,0.8,1.3,0.564,0.554,0.7,0.8,0.836,0.3,2.3,2.6,1.6,0.5,0.2,0.8,2.6,11.0
Mitchell Robinson,198,C,23,NYK,71,61,25.6,3.6,4.7,0.761,0.0,0.0,0.0,3.6,4.7,0.761,0.761,1.2,2.5,0.486,4.1,4.5,8.5,0.5,0.8,1.8,0.8,2.7,8.4
Jeremiah Robinson-Earl,199,C,21,OKC,47,36,22.4,2.6,6.6,0.399,1.1,3.4,0.335,1.5,3.2,0.467,0.485,0.7,1.0,0.729,1.6,4.1,5.7,1.0,0.6,0.3,0.8,1.6,7.1
